location_number,name,latitude,longitude,north_adjoin,south_adjoin,east_adjoin,west_adjoin,obstacle,opponent
44,Brgy. Katipunan,14.54,120.93,34,54,45,43,,
45,Brgy. Katipunan,14.54,120.94,35,55,46,44,,
46,Brgy. Katipunan,14.54,120.95,36,56,47,45,,
47,Brgy. Katipunan,14.54,120.96,37,57,48,46,,
48,Brgy. Katipunan,14.54,120.97,38,58,49,47,,
49,Brgy. Katipunan,14.54,120.98,39,59,50,48,,
50,Brgy. Katipunan,14.54,120.99,40,60,50,49,,
51,Brgy. Katipunan,14.53,120.9,41,61,52,51,,
52,Brgy. Katipunan,14.53,120.91,42,62,53,51,,
53,Brgy. Katipunan,14.53,120.92,43,63,54,52,,
54,Brgy. Katipunan,14.53,120.93,44,64,55,53,,
55,Brgy. Katipunan,14.53,120.94,45,65,56,54,,
56,Brgy. Katipunan,14.53,120.95,46,66,57,55,,
57,Brgy. Katipunan,14.53,120.96,47,67,58,56,,
58,Brgy. Katipunan,14.53,120.97,48,68,59,57,,
59,Brgy. Katipunan,14.53,120.98,49,69,60,58,,
60,Brgy. Katipunan,14.53,120.99,50,70,60,59,,
61,Brgy. Katipunan,14.52,120.9,51,71,62,61,,
62,Brgy. Katipunan,14.52,120.91,52,72,63,61,,
63,Brgy. Katipunan,14.52,120.92,53,73,64,62,,
64,Brgy. Katipunan,14.52,120.93,54,74,65,63,,
65,Brgy. Katipunan,14.52,120.94,55,75,66,64,,
66,Brgy. Katipunan,14.52,120.95,56,76,67,65,,
67,Brgy. Katipunan,14.52,120.96,57,77,68,66,,
68,Brgy. Katipunan,14.52,120.97,58,78,69,67,,
69,Brgy. Katipunan,14.52,120.98,59,79,70,68,,
70,Brgy. Katipunan,14.52,120.99,60,80,70,69,,
71,Brgy. Katipunan,14.51,120.9,61,81,72,71,,
72,Brgy. Katipunan,14.51,120.91,62,82,73,71,,
73,Brgy. Katipunan,14.51,120.92,63,83,74,72,,
74,Brgy. Katipunan,14.51,120.93,64,84,75,73,,
75,Brgy. Katipunan,14.51,120.94,65,85,76,74,,
76,Brgy. Katipunan,14.51,120.95,66,86,77,75,,
77,Brgy. Katipunan,14.51,120.96,67,87,78,76,,
78,Brgy. Katipunan,14.51,120.97,68,88,79,77,,
79,Brgy. Katipunan,14.51,120.98,69,89,80,78,,
80,Brgy. Katipunan,14.51,120.99,70,90,80,79,,
81,Brgy. Katipunan,14.5,120.9,71,91,82,81,,
82,Brgy. Katipunan,14.5,120.91,72,92,83,81,,
83,Brgy. Katipunan,14.5,120.92,73,93,84,82,,
84,Brgy. Katipunan,14.5,120.93,74,94,85,83,,
85,Brgy. Katipunan,14.5,120.94,75,95,86,84,,
86,Brgy. Katipunan,14.5,120.95,76,96,87,85,,
87,Brgy. Katipunan,14.5,120.96,77,97,88,86,,
88,Brgy. Katipunan,14.5,120.97,78,98,89,87,,
89,Brgy. Katipunan,14.5,120.98,79,99,90,88,,
90,Brgy. Katipunan,14.5,120.99,80,100,90,89,,
91,Brgy. Katipunan,14.49,120.9,81,91,92,91,,
92,Brgy. Katipunan,14.49,120.91,82,92,93,91,,
93,Brgy. Katipunan,14.49,120.92,83,93,94,92,,
94,Brgy. Katipunan,14.49,120.93,84,94,95,93,,
95,Brgy. Katipunan,14.49,120.94,85,95,96,94,,
96,Brgy. Katipunan,14.49,120.95,86,96,97,95,,
97,Brgy. Katipunan,14.49,120.96,87,97,98,96,,
98,Brgy. Katipunan,14.49,120.97,88,98,99,97,,
99,Brgy. Katipunan,14.49,120.98,89,99,100,98,,
100,Brgy. Katipunan,14.49,120.99,90,100,100,99,,
